Task_ID,Phase,Area,Task_Title,Description,Acceptance_Criteria,Estimated_Hours,Priority,Dependencies,Owner,Status
MIG-001,Planning,Program,ADR: NestJS + Prisma + PostgreSQL,"Lock stack: NestJS for HTTP/WebSocket APIs, Prisma as ORM and migration tool for PostgreSQL only, target hosting for API and DB. Document versions (Node LTS, Nest, Prisma). Out of scope: MySQL unless separate ADR.",ADR or one-pager committed; team agrees; no ambiguous ORM/DB choice.,4,P0,,,Not_Started
MIG-002,Planning,Security,Secrets and key management,"DATABASE_URL for Prisma (server only), JWT keys, PayPal, SMTP, SMS, S3. Nest ConfigModule + env validation. Never expose DB URL to Vite.",Checklist of secrets; .env.example for API without real values; frontend only VITE_API_URL and public keys.,4,P0,MIG-001,,Not_Started
MIG-003,Planning,Inventory,Inventory Supabase usage in frontend,"List files using supabase client: auth, from(), rpc(), functions.invoke(), storage, realtime channels.","Matrix: file path, call type, replacement Nest route or WS event.",6,P0,,,Not_Started
MIG-004,Planning,Inventory,Inventory Edge Functions and cron,Map each supabase/functions/* to future Nest module (controller + service); note env vars and triggers.,All functions covered; none orphaned.,5,P0,,,Not_Started
MIG-005,Planning,Inventory,"RPCs, SQL functions, and RLS inventory",List supabase.rpc calls and SQL functions in migrations; extract RLS policies per table. Plan Prisma-level authorization (guards) replacing RLS.,RPC matrix with parameters; RLS rules summarized; has_role and other security paths mapped to Nest guards.,10,P1,,,Not_Started
MIG-006,Database,Infrastructure,Provision target PostgreSQL,"Create production-grade Postgres (RDS, Cloud SQL, managed K8s, or self-hosted). Configure backups, TLS, extensions needed by schema (uuid, pgcrypto, etc.), connection limits.",Connection from bastion or CI works with SSL; backup window defined; DATABASE_URL format documented for Prisma.,8,P0,MIG-001,,Not_Started
MIG-007,Database,Schema,Deploy full SQL schema to target,"Replay supabase/migrations in order on empty DB, OR pg_dump --schema-only from Supabase and restore to target. Include public app tables, types, indexes, constraints, SQL functions used by RPCs. Exclude or separately handle Supabase auth/storage extensions if not cloning auth schema.",prisma db execute or psql: no errors; \dt lists expected tables; functions exist for RPC parity plan.,12,P0,MIG-006,,Not_Started
MIG-008,Database,Data,Migrate ALL existing rows (bulk copy),"Full data migration: pg_dump --data-only from Supabase (or provider backup restore), OR logical replication, OR table-ordered COPY with FK checks deferred. Include every business table and large tables (orders, logs, email state). Plan maintenance window or brief read-only on source. After load: run ANALYZE; fix sequences with setval to max(id).",Per-table row count matches source (automated diff); random FK spot-checks pass; sequences produce new IDs without collision.,18,P0,MIG-007,,Not_Started
MIG-009,Database,Data,Post-migration data validation,"Script comparing source Supabase vs target: counts, checksums on critical tables, max timestamps. Document acceptable deltas (e.g. excluded auth schema).",Signed validation report; stakeholders approve before API cutover.,8,P0,MIG-008,,Not_Started
MIG-010,Database,Schema,Dry run on staging clone,Repeat MIG-007–MIG-009 against staging Postgres; rehearse timing and rollback (drop schema / restore snapshot).,Staging holds full schema + representative or full copy; runbook updated with actual durations.,12,P0,MIG-009,,Not_Started
